from,to,kind
"mu[i,j]","Y[i,j]","stochastic"
"tau.c","Y[i,j]","stochastic"
"alpha[i]","mu[i,j]","deterministic"
"beta[i]","mu[i,j]","deterministic"
"x[j]","mu[i,j]","deterministic"
"xbar","mu[i,j]","deterministic"
"alpha.c","alpha[i]","stochastic"
"tau.alpha","alpha[i]","stochastic"
"beta.c","beta[i]","stochastic"
"tau.beta","beta[i]","stochastic"
"sigma.alpha","tau.alpha","deterministic"
"sigma.beta","tau.beta","deterministic"
"tau.c","sigma","deterministic"
"alpha.c","alpha0","deterministic"
"xbar","alpha0","deterministic"
"beta.c","alpha0","deterministic"
